,BodyLength,Lecty,Nesting,Sociality,Origin
Andrenamiranda,9.25,1,1,2,0
Andrenamiserabilis,7.25,1,1,2,0
Andrenamorrisonella,9,1,1,2,0
Andrenanasonii,7.5,1,1,2,0
Andrenanigrae,7.25,2,1,2,0
Andrenanigrihirta,9,1,1,2,0
Andrenanivalis,11.75,1,1,2,0
Andrenanubecula,9.47,2,1,2,0
Andrenanuda,8.5,1,1,2,0
Andrenaperplexa,12.5,1,1,2,0
Andrenapersimulata,8.13,2,1,2,0
Andrenapersonata,5.9,1,1,2,0
Andrenaphaceliae,7.5,2,1,2,0
Andrenaplacata,9.25,2,1,2,0
Andrenaplatyparia,8.38,2,1,2,0
Andrenapolemonii,6.75,2,1,2,0
Andrenapruni,9.38,1,1,2,0
Andrenarehni,8.75,2,1,2,0
Andrenarobertsonii,8.5,1,1,2,0
Andrenarudbeckiae,13,2,1,2,0
Andrenarugosa,8.5,1,1,2,0
Andrenasigmundi,10.25,2,1,2,0
Andrenasimplex,9.25,2,1,2,0
Andrenaspiraeana,8.75,1,1,2,0
Andrenathaspii,9.75,1,1,2,0
Andrenatridens,9.13,1,1,2,0
Andrenavicina,11.75,1,1,2,0
Andrenaviolae,9.25,2,1,2,0
Andrenawilkella,10.5,1,1,2,1
Andrenawilmattae,11.13,1,1,2,0
Andrenaziziae,6.25,2,1,2,0
Andrenaziziaeformis,6.5,2,1,2,0
Anthidiellumnotatum,7.5,1,2,2,0
Anthidiummanicatum,13.75,1,2,2,1
Anthidiumoblongatum,8.6,1,2,2,1
Anthophoraabrupta,15.13,1,1,2,0
Anthophorabomboides,14.13,1,1,2,0
Anthophoraterminalis,11.75,1,5,2,0
Anthophoraursina,15.38,1,1,2,0
Anthophorawalshii,15.23,1,1,2,0
Apismellifera,12.35,1,3,3,1
Augochlorapura,8,1,5,2,0
Augochlorellaaurata,5.25,1,1,3,0
Augochlorellapersimilis,6.25,1,1,3,0
Augochloropsismetallica,9,1,1,2,0
Bombusaffinis,16.75,1,3,3,0
Bombusashtoni,18,0,3,4,0
Bombusauricomus,20.75,1,3,3,0
Bombusbimaculatus,16.5,1,3,3,0
Bombusborealis,17,1,3,3,0
Bombuscitrinus,20,0,3,4,0
Bombusfervidus,16.75,1,3,3,0
Bombusfraternus,21.5,1,3,3,0
Bombusgriseocollis,16.75,1,3,3,0
Bombusimpatiens,16.75,1,3,3,0
Bombuspensylvanicus,20,1,3,3,0
Bombusperplexus,15.75,1,3,3,0
Bombussandersoni,14,1,3,3,0
Bombusterricola,16.25,1,3,3,0
Bombusvagans,15.75,1,3,3,0
Bombusvariabilis,20,0,3,4,0
Calliopsisandreniformis,6.65,1,1,2,0
Cemolobusipomoeae,13.63,2,1,2,0
Ceratinacalcarata,6.63,1,4,1,0
Ceratinadupla,6.75,1,4,1,0
Ceratinamikmaqi,6.5,1,4,1,0
Ceratinastrenua,5.25,1,4,1,0
Chelostomaphiladelphi,7.25,2,2,2,0
Coelioxysalternatus,12,0,2,4,0
Coelioxysbanksi,11,0,2,4,0
Coelioxysgermanus,11.13,0,2,4,0
Coelioxysmodestus,10,0,2,4,0
Coelioxysoctodentatus,9.25,0,2,4,0
Coelioxysrufitarsis,13.25,0,2,4,0
Coelioxyssayi,10.13,0,2,4,0
Colletesaestivalis,10.25,2,1,2,0
Colletesamericanus,10,2,1,2,0
Colletescompactus,10.75,2,1,2,0
Colleteseulophi,9,1,1,2,0
Colletesinaequalis,11,1,1,2,0
Colleteskincaidii,9,1,1,2,0
Colleteslatitarsis,9.75,2,1,2,0
Colletesmandibularis,8.25,1,1,2,0
Colletesnudus,10.75,1,1,2,0
Colletessimulans,9.5,2,1,2,0
Colletesthoracicus,12.25,1,1,2,0
Colleteswillistoni,8.5,2,1,2,0
Dieunomiaheteropoda,17,2,1,1,0
Dufoureanovaeangliae,8.5,2,1,2,0
Epeoloidespilosulus,8.5,0,1,4,0
Epeolusbifasciatus,8,0,1,4,0
Epeoluslectoides,9,0,1,4,0
Epeolusscutellaris,9.5,0,1,4,0
Euceraatriventris,14.13,1,1,2,0
Euceradubitata,13.25,1,1,2,0
Eucerahamata,15.25,1,1,2,0
Eucerarosae,13,1,1,2,0
Halictusconfusus,7,1,1,1,0
Halictusligatus,8.5,1,1,3,0
Halictusparallelus,11.5,1,1,3,0
Halictusrubicundus,10.5,1,1,1,0
Heriadescarinata,6.27,1,2,2,0
Heriadesvariolosa,5.37,1,2,2,0
Holcopasitescalliopsidis,5.5,0,1,4,0
Holcopasitesillinoiensis,5,0,1,4,0
Hoplitispilosifrons,7.63,1,4,2,0
Hoplitisproducta,7.25,1,4,2,0
Hoplitisspoliata,10.75,1,4,2,0
Hoplitistruncata,8.63,1,4,2,0
Hylaeusaffinismodestus,5.69,1,2,2,0
Hylaeusannulatus,5.75,1,2,2,0
Hylaeusfedorica,4.125,1,2,2,0
Hylaeushyalinatus,5.89,1,2,2,1
Hylaeusillinoisensis,6,1,2,2,0
Hylaeusleptocephalus,5.25,1,2,2,1
Hylaeusmesillae,3.875,1,2,2,0
Hylaeusnelumbonis,6.75,1,2,2,0
Hylaeuspictipes,4.35,1,2,2,1
Hylaeussaniculae,3.75,1,2,2,0
Lasioglossumabanci,6,1,1,3,0
Lasioglossumadmirandum,5.25,1,1,3,0
Lasioglossumalbipenne,5.75,1,1,3,0
Lasioglossumanomalum,4,1,1,,0
Lasioglossumapocyni,5,1,1,3,0
Lasioglossumathabascense,7.5,1,1,1,0
Lasioglossumbirkmanni,5.2,1,1,2,0
Lasioglossumbruneri,6.5,1,1,3,0
Lasioglossumcallidum,6.05,1,1,3,0
Lasioglossumcattellae,4.865,1,1,3,0
Lasioglossumcinctipes,8,1,1,3,0
Lasioglossumcoeruleum,7,1,5,3,0
Lasioglossumcoreopsis,4,1,1,3,0
Lasioglossumcoriaceum,8.25,1,1,1,0
Lasioglossumcressonii,6.25,1,5,3,0
Lasioglossumellisiae,4.62,1,1,,0
Lasioglossumephialtum,5.4,1,1,,0
Lasioglossumforbesii,8.25,1,1,1,0
Lasioglossumfoxii,6,1,1,2,0
Lasioglossumfuscipenne,8.5,1,1,1,0
Lasioglossumgotham,5.91,1,1,3,0
Lasioglossumheterognathus,5.225,1,1,3,0
Lasioglossumhitchensi,4.77,1,1,3,0
Lasioglossumillinoense,4.75,1,1,3,0
Lasioglossumimitatum,4.225,1,1,3,0
Lasioglossumlaevissimum,6,1,1,3,0
Lasioglossumleucocomus,5.06,1,1,3,0
Lasioglossumleucozonium,7.75,1,1,1,0
Lasioglossumlineatulum,6,1,1,3,0
Lasioglossumlionotus,3.875,1,1,4,0
Lasioglossumlustrans,7,2,1,1,0
Lasioglossummacoupinense,5.5,1,1,2,0
Lasioglossummichiganense,5.66,1,1,4,0
Lasioglossumnelumbonis,7.5,1,1,2,0
Lasioglossumnigroviride,7,1,1,3,0
Lasioglossumoblongum,5.735,1,5,3,0
Lasioglossumobscurum,5.52,1,1,3,0
Lasioglossumoceanicum,6.48,1,1,3,0
Lasioglossumparadmirandum,5.475,1,1,3,0
Lasioglossumparaforbesii,10.15,1,1,1,0
Lasioglossumpectinatum,8.5,2,1,2,0
Lasioglossumpectorale,5.5,1,1,2,0
Lasioglossumperpunctatum,5.5,1,1,3,0
Lasioglossumpilosum,6,1,1,3,0
Lasioglossumquebecense,7,2,1,1,0
Lasioglossumrozeni,5.31,1,1,4,0
Lasioglossumsmilacinae,6.6,1,1,,0
Lasioglossumsubviridatum,5.81,1,5,3,0
Lasioglossumtegulare,5,1,1,,0
Lasioglossumtruncatum,9.43,2,1,3,0
Lasioglossumversans,5.5,1,1,3,0
Lasioglossumversatum,5.88,1,1,3,0
Lasioglossumvierecki,4,1,1,3,0
Lasioglossumviridatum,5.25,1,1,3,0
Lasioglossumweemsi,4.57,1,1,3,0
Lasioglossumzephyrus,6.14,1,1,3,0
Lasioglossumzonulum,7.5,1,1,,0
Macropisciliata,7.5,2,1,2,0
Megachileaddenda,12,1,1,2,0
Megachileapicalis,7.5,1,2,2,1
Megachilebrevis,9.25,1,2,2,0
Megachilecampanulae,9.5,1,2,2,0
Megachilecentuncularis,9.5,1,2,2,1
Megachileconcinna,8,1,2,2,1
Megachileexilis,8.5,1,2,2,0
Megachilefrigida,13.25,1,2,2,0
Megachilefrugalis,11.5,1,2,2,0
Megachilegemula,11.5,1,2,2,0
Megachileinimica,13.5,2,2,2,0
Megachileintegra,11.75,2,1,2,0
Megachilelatimanus,13,1,1,2,0
Megachilemendica,10.5,1,2,2,0
Megachilemontivaga,11,1,2,2,0
Megachilemucida,12.5,1,1,2,0
Megachilepetulans,10.5,1,2,2,0
Megachilepugnata,13.5,2,2,2,0
Megachilepusilla,7,1,2,2,0
Megachilerelativa,9.75,1,2,2,0
Megachilerotundata,8,1,2,2,1
Megachilerugifrons,11.75,1,2,2,0
Megachilesculpturalis,21.25,1,2,2,1
Megachiletexana,11.75,1,2,2,0
Megachilexylocopoides,13,2,2,2,0
Melissodesagilis,11.63,2,1,2,0
Melissodesbimaculatus,13,1,1,2,0
Melissodescoloradensis,15.13,2,1,2,0
Melissodesdenticulatus,10.13,2,1,2,0
Melissodesdentiventris,11.88,2,1,2,0
Melissodesdesponsus,12.5,2,1,2,0
Melissodesdruriellus,9.5,2,1,2,0
Melissodesniveus,9.75,2,1,2,0
Melissodessubillatus,10.75,2,1,2,0
Melissodestinctus,10,2,1,2,0
Melissodestrinodis,10.75,2,1,2,0
Melissodeswheeleri,9.88,2,1,2,0
Melitomataurea,11,2,1,2,0
Nomadaaffabilis,10.86,0,1,4,0
Nomadaarticulata,8.75,0,1,4,0
Nomadaaustralis,7.75,0,1,4,0
Nomadabethunei,9.5,0,1,4,0
Nomadacressonii,8.5,0,1,4,0
Nomadacuneata,7.25,0,1,4,0
Nomadadenticulata,7.75,0,1,4,0
Nomadadepressa,9,0,1,4,0
Nomadafervida,10,0,1,4,0
Nomadafragariae,9.75,0,1,4,0
Nomadahydrophylli,8.38,0,1,4,0
Nomadaillinoensis,6.25,0,1,4,0
Nomadaimbricata,9.5,0,1,4,0
Nomadalehighensis,7.25,0,1,4,0
Nomadalepida,8,0,1,4,0
Nomadaluteola,11.25,0,1,4,0
Nomadaluteoloides,8.3,0,1,4,0
Nomadamaculata,9.5,0,1,4,0
Nomadaobliterata,7.88,0,1,4,0
Nomadaovata,8,0,1,4,0
Nomadaparva,5.25,0,1,4,0
Nomadaperplexa,8,0,1,4,0
Nomadaplacida,7.25,0,1,4,0
Nomadapygmaea,7.38,0,1,4,0
Nomadarubicunda,8.63,0,1,4,0
Nomadasayi,6.5,0,1,4,0
Nomadasuperba,11,0,1,4,0
Nomadatiftonensis,7,0,1,4,0
Nomadavegana,7.5,0,1,4,0
Nomadavicina,8.75,0,1,4,0
Osmiaalbiventris,8.25,1,2,2,0
Osmiaatriventris,7.75,1,2,2,0
Osmiabucephala,14.5,1,2,2,0
Osmiacaerulescens,9.75,1,2,2,1
Osmiaconjuncta,9,1,2,2,0
Osmiacordata,10.25,1,2,2,0
Osmiacornifrons,11.4,1,2,2,1
Osmiadistincta,8.25,2,2,2,0
Osmiageorgica,8.25,1,2,2,0
Osmiainspergens,9.75,1,2,2,0
Osmialignaria,10,1,2,2,0
Osmiapumila,7.75,1,2,2,0
Osmiasimillima,11.25,1,2,2,0
Osmiasubfasciata,7.5,1,2,2,0
Osmiataurus,11.1,1,2,2,1
Osmiatexana,10.5,2,2,2,0
Paranthidiumjugatorium,8.25,2,1,2,0
Peponapispruinosa,12.63,2,1,2,0
Perditamaculigera,5.75,2,1,2,0
Perditaoctomaculata,6.5,2,1,2,0
Pseudoanthidiumnanum,7.5,1,2,2,1
Pseudopanurgusaestivalis,6.4,2,1,2,0
Pseudopanurgusandrenoides,6,2,1,2,0
Pseudopanurguslabrosus,6,2,1,2,0
Pseudopanurguspassiflorae,7,2,1,2,0
Pseudopanurgusrugosus,6.5,2,1,2,0
Ptilothrixbombiformis,15.13,2,1,2,0
Sphecodesatlantis,5.6,0,1,4,0
Sphecodesbanksii,4,0,1,4,0
Sphecodesclematidis,7.5,0,1,4,0
Sphecodesconfertus,8,0,1,4,0
Sphecodescoronus,5,0,1,4,0
Sphecodescressonii,5.25,0,1,4,0
Sphecodesdavisii,10,0,1,4,0
Sphecodesdichrous,9.25,0,1,4,0
Sphecodesheraclei,7,0,1,4,0
Sphecodeslevis,5.5,0,1,4,0
Sphecodesmandibularis,6.95,0,1,4,0
Sphecodesminor,6.8,0,1,4,0
Sphecodespimpinellae,7,0,1,4,0
Sphecodesprosphorus,9.2,0,1,4,0
Sphecodesranunculi,7.5,0,1,4,0
Steliscoarctatus,6.7,1,2,4,0
Stelislateralis,6,1,2,4,0
Stelislouisae,8,1,2,4,0
Stelisnitida,9.63,1,2,4,0
Svastraobliqua,15.25,2,1,2,0
Triepeolusdonatus,11.5,0,1,4,0
Triepeoluslunatus,11,0,1,4,0
Triepeoluspectoralis,10,0,1,4,0
Triepeolusremigatus,14,0,1,4,0
Triepeolussimplex,12,0,1,4,0
Xenoglossastrenua,15.38,2,1,2,0
Xylocopavirginica,20,1,5,1,0
